LON,LAT,PGA-DD1,PGA-DD2,PGA-DD3,PGA-DD4,Ss-DD1,Ss-DD2,Ss-DD3,Ss-DD4,S1-DD1,S1-DD2,S1-DD3,S1-DD4,PGV-DD4,PGV-DD3,PGV-DD2,PGV-DD1
28.65,40.75,0.947,0.571,0.231,0.152,2.428,1.402,0.549,0.349,0.663,0.37,0.138,0.085,8.709,14.083,35.831,62.064
28.65,40.85,1.175,0.693,0.291,0.159,2.969,1.693,0.665,0.365,0.815,0.447,0.163,0.087,8.955,17.393,58.075,98.796
28.65,40.95,1.01,0.602,0.225,0.137,2.576,1.483,0.528,0.315,0.707,0.392,0.132,0.078,7.929,13.672,38.185,65.11
28.65,41.05,0.644,0.38,0.153,0.098,1.61,0.919,0.356,0.226,0.448,0.256,0.102,0.064,6.153,9.685,23.651,40.81
28.65,41.15,0.522,0.294,0.115,0.075,1.278,0.704,0.27,0.17,0.352,0.205,0.084,0.056,5.131,7.708,18.234,31.577
28.65,41.25,0.459,0.247,0.095,0.061,1.117,0.591,0.219,0.141,0.307,0.176,0.075,0.05,4.405,6.527,15.574,27.323
28.65,41.35,0.421,0.22,0.081,0.054,1.022,0.522,0.187,0.12,0.285,0.161,0.067,0.045,3.988,5.816,14.1,25.051
28.65,41.45,0.436,0.212,0.072,0.048,1.068,0.499,0.164,0.108,0.288,0.155,0.061,0.042,3.697,5.368,13.552,25.877
28.65,41.55,0.583,0.226,0.064,0.043,1.418,0.53,0.147,0.097,0.348,0.157,0.057,0.039,3.374,4.912,14.193,33.862
28.65,41.65,0.694,0.23,0.058,0.04,1.67,0.535,0.13,0.087,0.415,0.157,0.054,0.037,3.132,4.526,14.421,41.757
28.65,41.75,0.521,0.19,0.052,0.036,1.252,0.441,0.117,0.08,0.325,0.139,0.05,0.034,2.944,4.204,12.368,32.129
28.65,41.85,0.341,0.149,0.047,0.033,0.821,0.344,0.105,0.074,0.234,0.12,0.047,0.032,2.786,3.922,10.309,21.071
28.65,41.95,0.273,0.125,0.042,0.03,0.647,0.287,0.094,0.067,0.201,0.108,0.043,0.03,2.615,3.638,9.019,17.14
28.65,42.05,0.231,0.108,0.039,0.028,0.546,0.246,0.086,0.061,0.181,0.1,0.041,0.029,2.418,3.355,8.175,15.097
28.65,42.15,0.207,0.098,0.036,0.027,0.488,0.223,0.079,0.057,0.17,0.094,0.038,0.027,2.264,3.138,7.627,13.975
28.65,42.25,0.22,0.097,0.034,0.025,0.52,0.222,0.075,0.054,0.167,0.089,0.036,0.025,2.145,2.975,7.381,14.086
28.65,42.35,0.247,0.102,0.033,0.023,0.585,0.232,0.072,0.052,0.168,0.086,0.033,0.023,2.038,2.828,7.233,14.786
28.65,42.45,0.261,0.104,0.031,0.022,0.619,0.238,0.069,0.048,0.166,0.081,0.03,0.021,1.879,2.594,6.902,15.094
28.65,42.55,0.263,0.104,0.03,0.021,0.624,0.238,0.066,0.045,0.163,0.077,0.028,0.02,1.709,2.402,6.676,15.084
28.65,42.65,0.26,0.103,0.029,0.02,0.618,0.236,0.064,0.043,0.16,0.073,0.025,0.017,1.531,2.189,6.418,14.915
28.75,35.55,0.808,0.467,0.209,0.156,1.863,1.052,0.443,0.33,0.538,0.291,0.115,0.084,4.655,6.09,13.769,24.726
28.75,35.65,0.757,0.443,0.205,0.154,1.746,0.993,0.437,0.328,0.498,0.274,0.113,0.083,4.88,6.342,14.327,25.921
